name,name_bn,type,district,division,address,address_bn,phone,website,description,description_bn,is_verified,is_active
Dhaka University 1,Dhaka বিশ্ববিদ্যালয়,school,Dhaka,Dhaka,"Mirpur Road, Dhaka","মিরপুর সড়ক, Dhaka",01711000000,https://edu1.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,0,1
Coxs Bazar College 2,Coxs Bazar কলেজ,college,Coxs Bazar,Chittagong,"Uttara Road, Coxs Bazar","উত্তরা সড়ক, Coxs Bazar",01711000137,https://edu2.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Pabna High School 3,Pabna উচ্চ বিদ্যালয়,university,Pabna,Rajshahi,"Dhanmondi Road, Pabna","ধানমন্ডি সড়ক, Pabna",01711000274,https://edu3.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Kushtia Polytechnic 4,Kushtia পলিটেকনিক,school,Kushtia,Khulna,"Gulshan Road, Kushtia","গুলশান সড়ক, Kushtia",01711000411,https://edu4.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Sylhet Sadar Model School 5,Sylhet Sadar মডেল স্কুল,college,Sylhet Sadar,Sylhet,"Banani Road, Sylhet Sadar","বনানী সড়ক, Sylhet Sadar",01711000548,https://edu5.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,0,1
Barisal University 6,Barisal বিশ্ববিদ্যালয়,university,Barisal,Barisal,"Mohakhali Road, Barisal","মহাখালী সড়ক, Barisal",01711000685,https://edu6.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Dinajpur College 7,Dinajpur কলেজ,school,Dinajpur,Rangpur,"Shahbag Road, Dinajpur","শাহবাগ সড়ক, Dinajpur",01711000822,https://edu7.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Netrokona High School 8,Netrokona উচ্চ বিদ্যালয়,college,Netrokona,Mymensingh,"Agrabad Road, Netrokona","আগ্রাবাদ সড়ক, Netrokona",01711000959,https://edu8.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Tangail Polytechnic 9,Tangail পলিটেকনিক,university,Tangail,Dhaka,"Motijheel Road, Tangail","মতিঝিল সড়ক, Tangail",01711001096,https://edu9.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,0,1
Rangamati Model School 10,Rangamati মডেল স্কুল,school,Rangamati,Chittagong,"Badda Road, Rangamati","বাড্ডা সড়ক, Rangamati",01711001233,https://edu10.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Rajshahi University 11,Rajshahi বিশ্ববিদ্যালয়,college,Rajshahi,Rajshahi,"Mirpur Road, Rajshahi","মিরপুর সড়ক, Rajshahi",01711001370,https://edu11.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Jessore College 12,Jessore কলেজ,university,Jessore,Khulna,"Uttara Road, Jessore","উত্তরা সড়ক, Jessore",01711001507,https://edu12.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Habiganj High School 13,Habiganj উচ্চ বিদ্যালয়,school,Habiganj,Sylhet,"Dhanmondi Road, Habiganj","ধানমন্ডি সড়ক, Habiganj",01711001644,https://edu13.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,0,1
Pirojpur Polytechnic 14,Pirojpur পলিটেকনিক,college,Pirojpur,Barisal,"Gulshan Road, Pirojpur","গুলশান সড়ক, Pirojpur",01711001781,https://edu14.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Nilphamari Model School 15,Nilphamari মডেল স্কুল,university,Nilphamari,Rangpur,"Banani Road, Nilphamari","বনানী সড়ক, Nilphamari",01711001918,https://edu15.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Mymensingh University 16,Mymensingh বিশ্ববিদ্যালয়,school,Mymensingh,Mymensingh,"Mohakhali Road, Mymensingh","মহাখালী সড়ক, Mymensingh",01711002055,https://edu16.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,1,1
Gazipur College 17,Gazipur কলেজ,college,Gazipur,Dhaka,"Shahbag Road, Gazipur","শাহবাগ সড়ক, Gazipur",01711002192,https://edu17.ac.bd,A well-reputed educational institution in the region.,এই অঞ্চলের একটি সুপরিচিত শিক্ষা প্রতিষ্ঠান।,0,1
