name,name_bn,category,subtype,description,description_bn,area,district,division,address,phone,website,rating,badge_key,price_info,features,is_verified
NID Service Center Dhaka #1,এনআইডি সেবা কেন্দ্র Dhaka #1,government,nid,Official nid service center for Dhaka district citizens.,Dhaka জেলার নাগরিকদের জন্য সরকারি এনআইডি সেবা কেন্দ্র।,Mirpur,Dhaka,Dhaka,"Government Complex, Dhaka",16100,https://services.gov.bd,3.0,,Free,,1
Social Safety Scheme Office Chittagong #2,সামাজিক নিরাপত্তা কর্মসূচি অফিস Chittagong #2,government,schemes,Official social safety scheme office for Chittagong district citizens.,Chittagong জেলার নাগরিকদের জন্য সরকারি সামাজিক নিরাপত্তা কর্মসূচি অফিস।,Dhanmondi,Chittagong,Chittagong,"Government Complex, Chittagong",01711008357,https://services.gov.bd,3.1,,Free,,1
Passport Office Rajshahi #3,পাসপোর্ট অফিস Rajshahi #3,government,passport,Official passport office for Rajshahi district citizens.,Rajshahi জেলার নাগরিকদের জন্য সরকারি পাসপোর্ট অফিস।,Uttara,Rajshahi,Rajshahi,"Government Complex, Rajshahi",01711008494,https://services.gov.bd,3.2,,Free,,1
Land Records Office Khulna #4,ভূমি রেকর্ড অফিস Khulna #4,government,land,Official land records office for Khulna district citizens.,Khulna জেলার নাগরিকদের জন্য সরকারি ভূমি রেকর্ড অফিস।,Gulshan,Khulna,Khulna,"Government Complex, Khulna",01711008631,https://services.gov.bd,3.3,,Free,,1
Utility Service Office Sylhet #5,ইউটিলিটি সেবা অফিস Sylhet #5,government,utility,Official utility service office for Sylhet district citizens.,Sylhet জেলার নাগরিকদের জন্য সরকারি ইউটিলিটি সেবা অফিস।,Mohammadpur,Sylhet,Sylhet,"Government Complex, Sylhet",16100,https://services.gov.bd,3.4,,Free,,1
NID Service Center Barisal #6,এনআইডি সেবা কেন্দ্র Barisal #6,government,nid,Official nid service center for Barisal district citizens.,Barisal জেলার নাগরিকদের জন্য সরকারি এনআইডি সেবা কেন্দ্র।,Banani,Barisal,Barisal,"Government Complex, Barisal",01711008905,https://services.gov.bd,3.5,,Free,,1
Social Safety Scheme Office Rangpur #7,সামাজিক নিরাপত্তা কর্মসূচি অফিস Rangpur #7,government,schemes,Official social safety scheme office for Rangpur district citizens.,Rangpur জেলার নাগরিকদের জন্য সরকারি সামাজিক নিরাপত্তা কর্মসূচি অফিস।,Agrabad,Rangpur,Rangpur,"Government Complex, Rangpur",01711009042,https://services.gov.bd,3.6,,Free,,1
Passport Office Mymensingh #8,পাসপোর্ট অফিস Mymensingh #8,government,passport,Official passport office for Mymensingh district citizens.,Mymensingh জেলার নাগরিকদের জন্য সরকারি পাসপোর্ট অফিস।,Zindabazar,Mymensingh,Mymensingh,"Government Complex, Mymensingh",01711009179,https://services.gov.bd,3.7,,Free,,1
Land Records Office Dhaka #9,ভূমি রেকর্ড অফিস Dhaka #9,government,land,Official land records office for Dhaka district citizens.,Dhaka জেলার নাগরিকদের জন্য সরকারি ভূমি রেকর্ড অফিস।,Sadar,Dhaka,Dhaka,"Government Complex, Dhaka",16100,https://services.gov.bd,3.8,,Free,,1
Utility Service Office Chittagong #10,ইউটিলিটি সেবা অফিস Chittagong #10,government,utility,Official utility service office for Chittagong district citizens.,Chittagong জেলার নাগরিকদের জন্য সরকারি ইউটিলিটি সেবা অফিস।,Kotwali,Chittagong,Chittagong,"Government Complex, Chittagong",01711009453,https://services.gov.bd,3.9,,Free,,1
NID Service Center Rajshahi #11,এনআইডি সেবা কেন্দ্র Rajshahi #11,government,nid,Official nid service center for Rajshahi district citizens.,Rajshahi জেলার নাগরিকদের জন্য সরকারি এনআইডি সেবা কেন্দ্র।,Mirpur,Rajshahi,Rajshahi,"Government Complex, Rajshahi",01711009590,https://services.gov.bd,4.0,,Free,,1
Social Safety Scheme Office Khulna #12,সামাজিক নিরাপত্তা কর্মসূচি অফিস Khulna #12,government,schemes,Official social safety scheme office for Khulna district citizens.,Khulna জেলার নাগরিকদের জন্য সরকারি সামাজিক নিরাপত্তা কর্মসূচি অফিস।,Dhanmondi,Khulna,Khulna,"Government Complex, Khulna",01711009727,https://services.gov.bd,4.1,,Free,,1
Passport Office Sylhet #13,পাসপোর্ট অফিস Sylhet #13,government,passport,Official passport office for Sylhet district citizens.,Sylhet জেলার নাগরিকদের জন্য সরকারি পাসপোর্ট অফিস।,Uttara,Sylhet,Sylhet,"Government Complex, Sylhet",16100,https://services.gov.bd,4.2,,Free,,1
Land Records Office Barisal #14,ভূমি রেকর্ড অফিস Barisal #14,government,land,Official land records office for Barisal district citizens.,Barisal জেলার নাগরিকদের জন্য সরকারি ভূমি রেকর্ড অফিস।,Gulshan,Barisal,Barisal,"Government Complex, Barisal",01711010001,https://services.gov.bd,4.3,,Free,,1
Utility Service Office Rangpur #15,ইউটিলিটি সেবা অফিস Rangpur #15,government,utility,Official utility service office for Rangpur district citizens.,Rangpur জেলার নাগরিকদের জন্য সরকারি ইউটিলিটি সেবা অফিস।,Mohammadpur,Rangpur,Rangpur,"Government Complex, Rangpur",01711010138,https://services.gov.bd,4.4,,Free,,1
NID Service Center Mymensingh #16,এনআইডি সেবা কেন্দ্র Mymensingh #16,government,nid,Official nid service center for Mymensingh district citizens.,Mymensingh জেলার নাগরিকদের জন্য সরকারি এনআইডি সেবা কেন্দ্র।,Banani,Mymensingh,Mymensingh,"Government Complex, Mymensingh",01711010275,https://services.gov.bd,3.0,,Free,,1
