name,name_bn,category,subtype,description,description_bn,area,district,division,address,phone,website,rating,badge_key,price_info,features,is_verified
City General Hospital Dhaka #1,সিটি জেনারেল হাসপাতাল Dhaka #1,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Mirpur,Dhaka,Dhaka,"Mirpur Road, Dhaka",01711000000,,3.5,,Free / Subsidized,"Emergency, OPD, Pathology",1
National Heart Foundation Chittagong #2,জাতীয় হৃদরোগ ফাউন্ডেশন Chittagong #2,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Dhanmondi,Chittagong,Chittagong,"Dhanmondi Road, Chittagong",01711000137,https://hospital2.com.bd,3.6,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",0
Popular Medical Center Rajshahi #3,পপুলার মেডিকেল সেন্টার Rajshahi #3,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Uttara,Rajshahi,Rajshahi,"Uttara Road, Rajshahi",01711000274,,3.7,,Free / Subsidized,"Emergency, OPD, Pathology",0
Square Hospital Khulna #4,স্কয়ার হাসপাতাল Khulna #4,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Gulshan,Khulna,Khulna,"Gulshan Road, Khulna",01711000411,https://hospital4.com.bd,3.8,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",1
Ibn Sina Hospital Sylhet #5,ইবনে সিনা হাসপাতাল Sylhet #5,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Mohammadpur,Sylhet,Sylhet,"Mohammadpur Road, Sylhet",01711000548,,3.9,,Free / Subsidized,"Emergency, OPD, Pathology",0
Labaid Specialized Hospital Barisal #6,ল্যাবএইড স্পেশালাইজড হাসপাতাল Barisal #6,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Banani,Barisal,Barisal,"Banani Road, Barisal",01711000685,https://hospital6.com.bd,4.0,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",0
United Hospital Rangpur #7,ইউনাইটেড হাসপাতাল Rangpur #7,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Agrabad,Rangpur,Rangpur,"Agrabad Road, Rangpur",01711000822,,4.1,,Free / Subsidized,"Emergency, OPD, Pathology",1
Apollo Hospital Mymensingh #8,অ্যাপোলো হাসপাতাল Mymensingh #8,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Zindabazar,Mymensingh,Mymensingh,"Zindabazar Road, Mymensingh",01711000959,https://hospital8.com.bd,4.2,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",0
City General Hospital Dhaka #9,সিটি জেনারেল হাসপাতাল Dhaka #9,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Sadar,Dhaka,Dhaka,"Sadar Road, Dhaka",01711001096,,4.3,,Free / Subsidized,"Emergency, OPD, Pathology",0
National Heart Foundation Chittagong #10,জাতীয় হৃদরোগ ফাউন্ডেশন Chittagong #10,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Kotwali,Chittagong,Chittagong,"Kotwali Road, Chittagong",01711001233,https://hospital10.com.bd,4.4,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",1
Popular Medical Center Rajshahi #11,পপুলার মেডিকেল সেন্টার Rajshahi #11,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Mirpur,Rajshahi,Rajshahi,"Mirpur Road, Rajshahi",01711001370,,4.5,,Free / Subsidized,"Emergency, OPD, Pathology",0
Square Hospital Khulna #12,স্কয়ার হাসপাতাল Khulna #12,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Dhanmondi,Khulna,Khulna,"Dhanmondi Road, Khulna",01711001507,https://hospital12.com.bd,4.6,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",0
Ibn Sina Hospital Sylhet #13,ইবনে সিনা হাসপাতাল Sylhet #13,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Uttara,Sylhet,Sylhet,"Uttara Road, Sylhet",01711001644,,4.7,,Free / Subsidized,"Emergency, OPD, Pathology",1
Labaid Specialized Hospital Barisal #14,ল্যাবএইড স্পেশালাইজড হাসপাতাল Barisal #14,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Gulshan,Barisal,Barisal,"Gulshan Road, Barisal",01711001781,https://hospital14.com.bd,4.8,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",0
United Hospital Rangpur #15,ইউনাইটেড হাসপাতাল Rangpur #15,hospital,govt-hospital,Government hospital with general and emergency care.,সাধারণ ও জরুরি সেবাসহ সরকারি হাসপাতাল।,Mohammadpur,Rangpur,Rangpur,"Mohammadpur Road, Rangpur",01711001918,,4.9,,Free / Subsidized,"Emergency, OPD, Pathology",0
Apollo Hospital Mymensingh #16,অ্যাপোলো হাসপাতাল Mymensingh #16,hospital,private-hospital,Private specialized hospital with modern facilities.,আধুনিক সুবিধাসহ বেসরকারি বিশেষায়িত হাসপাতাল।,Banani,Mymensingh,Mymensingh,"Banani Road, Mymensingh",01711002055,https://hospital16.com.bd,3.5,,BDT 500 consultation,"ICU, OPD, Emergency, Diagnostics",1
